"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
1502,2015,6,27,6,"DL","BWI",0,21,0
2226,2015,12,5,6,"DL","MCO",0,8,0
1704,2015,6,11,4,"DL","FLL",0,58,0
678,2015,6,17,3,"DL","ORD",0,100,0
1487,2015,7,28,2,"DL","MEM",104,5,0
1823,2015,6,22,1,"DL","SEA",0,15,0
946,2015,4,15,3,"DL","MSP",21,5,0
2258,2015,4,8,3,"AA","PHX",0,132,0
2121,2015,4,6,1,"DL","RSW",0,19,0
1621,2015,4,11,6,"DL","TPA",0,29,0
853,2015,11,22,7,"DL","RSW",0,13,0
724,2015,4,21,2,"DL","EWR",0,25,0
2248,2015,6,25,4,"DL","LGA",0,15,0
2092,2015,9,4,5,"DL","SFO",21,4,0
1198,2015,5,30,6,"DL","EWR",0,20,0
1055,2015,12,25,5,"DL","MSP",0,22,0
1729,2015,2,1,7,"DL","BOS",0,14,0
1145,2015,1,6,2,"DL","SFO",0,9,0
2557,2015,1,7,3,"DL","ATL",41,16,0
1565,2015,9,3,4,"DL","BNA",64,8,0
2437,2015,5,4,1,"DL","BOS",0,27,0
733,2015,7,6,1,"DL","SEA",25,5,0
2144,2015,2,12,4,"DL","DCA",1,32,0
158,2015,8,24,1,"DL","BOS",0,104,0
1421,2015,1,10,6,"AA","MIA",0,9,0
1968,2015,7,10,5,"DL","GRB",0,68,0
2621,2015,11,23,1,"DL","SFO",0,7,0
2793,2015,8,24,1,"DL","BGR",0,78,0
1706,2015,7,12,7,"DL","LAX",0,30,0
1793,2015,6,5,5,"DL","BOS",7,8,0
1409,2015,1,8,4,"DL","MCI",0,25,0
1405,2015,11,19,4,"DL","MCO",0,34,0
1331,2015,8,17,1,"DL","MCI",69,1,0
1067,2015,6,14,7,"DL","PDX",22,5,0
1248,2015,5,14,4,"DL","LAX",56,14,0
1218,2015,3,30,1,"DL","DCA",0,85,0
2231,2015,6,3,3,"DL","LGA",0,158,0
2657,2015,5,19,2,"DL","PHX",0,23,0
1269,2015,6,18,4,"DL","ATL",10,4,0
1204,2015,4,14,2,"DL","BDL",0,70,0
2231,2015,8,21,5,"DL","LGA",0,131,0
1621,2015,8,16,7,"DL","TPA",0,12,0
2620,2015,3,4,3,"DL","SRQ",0,84,0
1248,2015,6,19,5,"DL","LAX",83,10,0
2228,2015,11,9,1,"DL","MCO",0,10,0
2393,2015,2,22,7,"DL","MSP",18,5,0
1645,2015,8,10,1,"DL","DEN",0,58,0
2533,2015,2,27,5,"DL","RDU",0,24,0
2263,2015,3,1,7,"DL","SEA",10,15,0
1628,2015,3,6,5,"DL","MSY",0,9,0
870,2015,1,6,2,"DL","MSN",18,1,0
1562,2015,1,20,2,"DL","PHL",0,68,0
1287,2015,3,6,5,"DL","BNA",0,43,0
2235,2015,3,9,1,"AA","PHX",0,52,0
1096,2015,3,6,5,"DL","MSP",396,83,0
2263,2015,2,5,4,"DL","SEA",0,98,0
2142,2015,2,1,7,"DL","SEA",0,33,0
1621,2015,8,23,7,"DL","TPA",0,21,0
2657,2015,3,17,2,"DL","PHX",3,26,0
1218,2015,5,21,4,"DL","DCA",0,73,0
2385,2015,5,3,7,"DL","MSY",0,117,0
2633,2015,3,6,5,"DL","IND",2,10,0
1703,2015,6,5,5,"DL","TPA",22,3,0
281,2015,2,14,6,"DL","SEA",1,26,0
158,2015,8,3,1,"DL","BOS",128,5,0
1565,2015,2,17,2,"DL","BNA",0,63,0
582,2015,6,1,1,"DL","LGA",0,14,0
2302,2015,12,27,7,"AA","ORD",0,19,0
2482,2015,2,13,5,"DL","PIT",0,10,0
1749,2015,4,12,7,"DL","PHL",0,30,0
855,2015,2,6,5,"DL","SLC",37,2,0
582,2015,4,3,5,"DL","LGA",0,34,0
1369,2015,3,6,5,"DL","MCI",0,17,0
1207,2015,3,1,7,"DL","SLC",6,4,0
2564,2015,3,6,5,"DL","RSW",24,16,0
1511,2015,12,28,1,"DL","DEN",0,53,0
667,2015,8,4,2,"AA","PHX",0,37,0
1248,2015,5,12,2,"DL","LAX",0,15,0
2335,2015,1,9,5,"DL","SLC",0,19,0
21,2015,8,3,1,"DL","FLL",0,38,0
2033,2015,9,16,3,"AA","PHL",0,56,0
905,2015,3,16,1,"DL","LGA",0,42,0
1565,2015,6,13,6,"DL","BNA",4,43,0
2283,2015,4,25,6,"DL","ATL",0,22,0
719,2015,4,30,4,"DL","ORD",0,36,0
1785,2015,3,5,4,"DL","ORD",0,66,0
1057,2015,7,12,7,"DL","CLT",0,25,0
1330,2015,4,9,4,"DL","CLT",0,76,0
2215,2015,2,20,5,"AA","DFW",0,151,0
2552,2015,6,16,2,"DL","MSN",0,126,0
301,2015,6,21,7,"AA","MIA",46,6,0
2432,2015,5,29,5,"DL","SYR",0,52,0
2131,2015,12,21,1,"DL","LGA",0,66,0
1679,2015,6,30,2,"DL","GRR",0,54,0
21,2015,7,18,6,"DL","FLL",0,45,0
870,2015,12,6,7,"DL","MSN",0,59,0
901,2015,6,27,6,"DL","ATL",12,150,0
1424,2015,8,2,7,"DL","MCO",0,44,0
1471,2015,4,7,2,"DL","AUS",0,121,0
1241,2015,12,13,7,"AA","DFW",0,28,0
1721,2015,2,17,2,"DL","TPA",0,121,0
1747,2015,7,2,4,"DL","TVC",0,37,0
1870,2015,1,9,5,"DL","IND",0,158,0
1067,2015,9,14,1,"DL","PDX",0,85,0
21,2015,2,14,6,"DL","FLL",0,46,0
1905,2015,5,20,3,"DL","MCO",0,16,0
925,2015,12,25,5,"DL","DCA",82,7,0
1959,2015,3,12,4,"DL","TPA",0,18,0
1207,2015,8,11,2,"DL","SLC",20,3,0
2021,2015,12,24,4,"DL","PHX",0,43,0
1210,2015,12,2,3,"DL","RDU",80,8,0
2231,2015,7,10,5,"DL","LGA",19,5,0
1727,2015,1,1,4,"DL","SFO",60,7,0
2587,2015,1,4,7,"DL","PDX",7,20,0
1248,2015,5,17,7,"DL","LAX",0,8,0
2813,2015,12,3,4,"DL","LGA",0,33,0
1917,2015,7,9,4,"DL","LAS",38,18,0
963,2015,5,3,7,"DL","DCA",14,5,0
1217,2015,2,1,7,"DL","PBI",6,29,0
2477,2015,6,17,3,"DL","MKE",0,9,0
1225,2015,2,16,1,"DL","GRR",0,25,0
1827,2015,12,28,1,"AA","CLT",0,1,0
1749,2015,4,17,5,"DL","PHL",2,14,0
1389,2015,4,4,6,"DL","LAS",0,9,0
276,2015,8,26,3,"DL","MCO",0,96,0
745,2015,11,29,7,"DL","SFO",0,64,0
1284,2015,4,1,3,"DL","ORD",0,58,0
1533,2015,8,19,3,"DL","GRR",0,87,0
2552,2015,7,13,1,"DL","MSN",0,121,0
158,2015,1,29,4,"DL","BOS",0,6,0
1420,2015,8,10,1,"DL","SFO",0,16,0
2580,2015,7,9,4,"DL","GRR",0,107,0
1719,2015,3,4,3,"DL","LAX",9,7,0
1032,2015,2,14,6,"AA","MIA",7,40,0
2580,2015,7,8,3,"DL","GRR",0,20,0
1377,2015,11,29,7,"DL","LGA",0,95,0
2152,2015,3,29,7,"DL","IAD",0,118,0
1908,2015,5,24,7,"DL","SFO",0,25,0
1823,2015,6,9,2,"DL","SEA",5,12,0
2486,2015,6,1,1,"DL","ATL",0,15,0
276,2015,7,17,5,"DL","MCO",0,62,0
1405,2015,12,30,3,"DL","MCO",0,62,0
2623,2015,12,10,4,"DL","STL",0,62,0
1729,2015,12,10,4,"DL","SFO",1,5,0
2398,2015,12,18,5,"DL","DCA",0,40,0
301,2015,9,17,4,"AA","MIA",27,1,0
1644,2015,7,29,3,"DL","LAX",0,97,0
1096,2015,12,24,4,"DL","MSP",0,27,0
572,2015,7,27,1,"DL","ATL",5,10,0
2344,2015,4,28,2,"DL","LGA",0,32,0
158,2015,6,27,6,"DL","BOS",20,2,0
